rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month
107,spotify:track:57FeZINjlat9NLEhYUejmd,"VSOUL, MFREE, TUYEN VO",NGTANOISE,VSOUL,83,114,29,172179,1
108,spotify:track:2Npr9vbXuQYcpnsouBIrHU,"The Masked Singer, Voi Bản Đôn",Ngày Mai Người Ta Lấy Chồng (feat. Voi Bản Đôn),THE MASKED SINGER,39,123,24,170018,1
109,spotify:track:1RGA13K66cABN7nYek6WNk,Madihu,Không Còn Em,WM Vietnam,17,105,28,169649,1
110,spotify:track:5J90ah0ppUSev1uahqQiN6,"Andiez, AMEE",Anh Đánh Rơi Người Yêu Này,MaiDao Music,19,119,65,167009,1
111,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,122,92,166652,1
112,spotify:track:0bqiS4Vi6vWtOj9woYfAJM,tlinh,đừng làm nó phức tạp,Universal Music Indochina Distributed Labels,112,-1,1,166639,1
113,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,5,102,40,166314,1
114,spotify:track:3rigEvSPZYJI3rAt9gVdXy,"Gill, tlinh, Kewtiie",Mắt Xanh,M Music Records,60,132,56,165242,1
115,spotify:track:2WOpp4vm16unl0N3i3BNNv,"NÂN, Ngơ",Tình Đắng Như Ly Cà Phê,nân,15,141,213,165048,1
116,spotify:track:0M5Vaj3y4yhNQ1PX471F8P,"BAN, CoolKid",MD Anniversary,M Music Records,52,108,15,164861,1
117,spotify:track:2qWP5ZarXRsdmxzz3L3BtP,"SUNI Hạ Linh, Hoàng Dũng, GREY D, Orange, tlinh",có hẹn với thanh xuân,Universal Music Indochina Distributed Labels,27,129,79,161829,1
118,spotify:track:7j3XQm7RR8T2EzaYtYK4rc,"W/N, Tezzy, Tien",Crush 2,RioX Records,61,118,84,161485,1
119,spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,111,164,161462,1
120,spotify:track:25edeHHueINMguqu9emCyV,"Đen, Phương Anh Đào",Lối Nhỏ,Đen,1,133,223,161138,1
121,spotify:track:2n00rcPaXcWfFB9irOKOmh,Ronboogz,Anh Chỉ Muốn,MaiDao Music,117,117,3,159641,1
122,spotify:track:1sEOTXdVl8X7SzuJi0P1cq,"Dept, Ashley Alisha",Van Gogh (feat. Ashley Alisha),WM Korea,41,113,9,157732,1
123,spotify:track:7oBUoEbCDF748UkHnLusUB,Thịnh Suy,Chuyện Rằng,Yin Yang Media,5,125,182,157267,1
124,spotify:track:59LeatGytui1mQleoiEnWM,"Wren Evans, itsnk",Việt Kiều,Universal Music Indochina,57,127,9,156269,1
125,spotify:track:6iXGivPFpsqKmrINhIbPvx,Lynk Lee,Buồn Thì Cứ Khóc Đi,Lynk Lee,10,134,214,156051,1
126,spotify:track:7AD5F85waSb3yZxZxEXhJM,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,137,87,155676,1
127,spotify:track:6A1IbMKwjvXibcrU1sdqKH,"MONO, Onionn.",Em Là,M Music Records,8,124,73,155516,1
128,spotify:track:3k6q0O9JnO2GhvD6C8fs20,Jimin,Closer Than This,BIGHIT MUSIC,3,94,6,155394,1
129,spotify:track:3nw5vYaH4qVx8joq3qhtNx,Low G,Okeokeoke,Rap Nhà Làm,103,112,43,155035,1
130,spotify:track:07tiPBhMqiKqHowwqDBtfK,"W/N, 267",id T41104 (feat. 267),W NATION,26,121,13,153628,1
131,spotify:track:0hiQvlWSSTr7n1kc1X2Lus,"HIEUTHUHAI, Harmonie",Bật Nhạc Lên,GERDNANG,59,150,171,153192,1
132,spotify:track:4S0uLMXRoAjFfIJOW7A8aW,Rhymastic,Nến Và Hoa,WM Vietnam,2,138,190,153015,1
133,spotify:track:2BDE7KducbOuOPY4tlERyJ,Bình Gold,Trăng Hoa Mây Mưa,Binh Gold,133,146,2,152984,1
134,spotify:track:4N99EuIjwSSFFFMDfTeOLU,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,106,131,67,152838,1
135,spotify:track:1yo967mk7CpjvruNxBecOY,Thắng,Trước Khi Em Tồn Tại,Thắng,22,120,37,151540,1
136,spotify:track:7fNHfgOxPLcg4mQLhCnOHB,"Rapital, Groovie Lã Thắng, tlinh, RPT MCK",XTC (Xích Thêm Chút) (Remix),M Music Records,87,140,135,150821,1
137,spotify:track:1GJ3suxtUVaguVQRemw6Zp,Andiez,Suýt Nữa Thì...,MaiDao Music,82,139,82,149706,1
138,spotify:track:7h69br1nQFSSgdVQp6sPx6,"HIEUTHUHAI, B Ray, Tage",Không Phải Gu,M Music Records,51,161,16,149246,1
139,spotify:track:0Rx4GFPy8ISxPhRwkjl64b,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,171,74,148874,1
140,spotify:track:0tWqngfOXKN1xOlYK4WwVw,Sơn Tùng M-TP,Âm Thầm Bên Em,Universal Music Indochina Distributed Labels,35,136,171,148539,1
141,spotify:track:7eDrdQ7PK9Xm1CZCKWsgmH,"Vũ., TRANG",Anh Nhớ Ra (feat. TRANG),WM Vietnam,19,128,68,148210,1
142,spotify:track:3b34161QoxLwsqhWSPy9i5,Da LAB,Thanh Xuân,Sony Music Entertainment,1,135,284,146199,1
